,,,,,,
UK Civil Protection Lexicon,,,,,,
Version 2.1.1 (February 2013),,,,,,
Explanatory Notes and Version History appear in separate sheets,,,,,,
"For further information, related documents and the current version go to: ",,,,,,
www.cabinetoffice.gov.uk/cplexicon,,,,,,
Primary Term,Abbreviation or acronym,Included / Revised in  Ver. ,Source,Definition                                                                                        (text in bold indicates a related defintion in the Lexicon),Notes on definition,Geography or jurisdiction to which the term is restricted
Capability Gap,,2.0,CCS,"The gap between the current ability to provide a response and the actual response assessed to be required for a given threat or hazard. Plans should be made to reduce or eliminate this gap, if the risk justifies it.",,
Capability Status,,2.0,CCS,Assessment of the level of capability in place. ,,
Capability Target,,2.0,CCS,The level of capability required by the planning assumptions and elaborated in the capability development plan. ,,
Casualty,,1.0,CCS,"1. Person killed or physically, psychologically or mentally injured as a result of war, accident or civil emergency ","Notes: (1)   In its general definition using the term Casualty to refer to one, more or all of the deceased, the injured and the otherwise affected provides scope for confusion and distress. Responders are urged to use unambiguous terms such as ‘deceased’ and ‘physically injured’.  (2)   To avoid confusion during maritime emergencies, the term ‘casualty’ should not be used without qualifying that it relates either to people or the vessel.",
,,,,2. (In a maritime emergency) Vessel in distress,,
,,,,"3. (For Casualty Bureau purposes) Person known, or believed, to be involved in an incident, including evacuees, survivors, and deceased",,
Casualty Bureau,CasB,1.0,CCS,"Initial point of contact and information, maintained by the police, for all data relating to casualties  ","Note: (1) May be termed Police Casualty Bureau, (2) Plural is Bureaus or Bureaux",
Casualty Clearing Officer,,1.0,CCS,"Ambulance officer who, in liaison with the Medical Incident Commander, ensures an efficient patient throughput at the Casualty Clearing Station  ",,
Casualty Clearing Station,CasCS,1.0,CCS,"Entity set up at the scene of an emergency by the ambulance service in liaison with the Medical Incident Commander to assess, triage and treat casualties and direct their evacuation  ",,
Casualty Form,,1.0,CCS,Document completed in respect of each injured or deceased person and collated in the Casualty Bureau  ,,
Casualty Information Unit,,1.0,CCS,Element within the Casualty Bureau responsible for the recording of casualty data forwarded by Hospital Documentation Teams  ,,
Casualty receiving hospital,,1.0,CCS,See Designated Receiving Hospital ,,
Catastrophic emergency  ,,2.0,CCS,An emergency which  has  an  exceptionally  high  and  potentially  widespread  impact  and  requires  immediate  central  government  direction  and  support.   ,Note: defined by Cabinet Office (2010) Central Government Arrangements for Responding to an Emergency,
Category 1 responder ,Cat 1,2.0,CCS,"A person or body listed in Part 1 of Schedule 1 to the Civil Contingencies Act. These bodies are likely to be at the core of the response to most emergencies. As such, they are subject to the full range of civil protection duties in the Act. ",,
Category 2 responder ,Cat 2,2.0,CCS,"A person or body listed in Part 3 of Schedule 1 to the Civil Contingencies Act. These are co-operating responders who are less likely to be involved in the heart of multi-agency planning work, but will be heavily involved in preparing for incidents affecting their sectors. The Act requires them to co-operate and share information with other Category 1 and 2 responders.",,
Central Emergency Planning Unit (Northern Ireland),CEPU,2.0,CCS,Term no longer in use - Replaced by Civil Contingencies Policy Branch (CCPB),,Northern Ireland
Central Operations Room,COR,2.0,CCS,(In Northern Ireland) Entity that controls the flow of information into and out of the Crisis Management Group and Civil Contingencies Group (Northern Ireland)  ,,Northern Ireland
Central Situation Cell,Sit Cell,1.0,CCS,Unit within the Cabinet Office Briefing Rooms responsible for collating information from multiple sources to create the national Common Recognised Information Picture ,,
Centre for the Protection of National Infrastructure,CPNI,2.1,CCS,,Note: included for Acronym,
Chain of Command,CoC,2.1,MOD,,Note: included for Acronym,
Chemical and Pipelines Emergency Planning Liaison Group  ,CAP EPLG,2.0,HSE,"National policy forum chaired by the Health and Safety Executive, including representatives of the Local Government Association and emergency planners",,
"Chemical, Biological, Radiological and/or Nuclear",CBRN,2.0,CCS,"A term used to describe Chemical, Biological, Radiological or Nuclear materials. CBRN is often associated with terrorism – see CBRNE.",,
"Chemical, Biological, Radiological, Nuclear and Explosives",CBRNE,2.0,CCS,"A term used to describe Chemical, Biological, Radiological, Nuclear and Explosive materials. CBRNE terrorism is the actual or threatened dispersal of CBRN material (either on their own or in combination with each other or with explosives), with deliberate criminal, malicious or murderous intent.",,
Chemical Meterology,CHEMET,2.0,NEPLG,Met Office forecasting response service in the event of an emergency atmospheric release of hazardous material anywhere in the UK Numerical Atmospheric Modelling Environment,,
Chief Medical Officer,CMO,1.0,CCS,"United Kingdom Government's principal medical adviser who additionally acts as the professional head of all medical staff in England. Each of the devolved administrations also has a CMO who acts as the principal medical adviser in Northern Ireland, Scotland and Wales respectively.",,
Civil Aviation Authority,CAA,2.1,DfT,,Note: included for Acronym,
Civil / (civilian),,1.0,CCS,Relating to all authorities and agencies other than the military,,
,,,,,,
Civil contingencies,,1.0,CCS,"Risks to civilian health, safety, and property from emergencies as defined in the Civil Contingencies Act (2004) ",,
Civil Contingencies Act (2004),CCA,1.0,CCS,Act of 2004 which established a single framework for Civil Protection in the United Kingdom. Part 1 of the Act establishes a clear set of roles and responsibilities for Local Responders; Part 2 of the Act establishes emergency powers,Note: in the UK civil protection context the CCA may often be referred to as 'The Act',
Civil Contingencies Committee ,CCC,2.0,CCS,"See National Security Council (Threats, Hazards, Resilience and Contingencies)",Note: no longer in use.,
Civil Contingencies Group (Northern Ireland) ,CCG(NI),2.0,OFMDFM,"A pan-Northern Ireland multi-agency forum for the development, discussion and agreement of civil protection policy for the Northern Ireland public services. In addition to its policy role, the CCG(NI) supports strategic co-ordination of emergencies, and during the response to an emergency would support  the Crisis Management Group (CMG), supplementing existing lead department arrangements.  In circumstances where the CMG is not convened but where cross-cutting strategic management is required the CCG(NI) would fulfill this role.",,Northern Ireland
Civil Contingencies Policy Branch,CCPB,1.0,OFMDFM,(In Northern Ireland) Central government organisation responsible for a wide range of policies and activities aimed at promoting the development of civil contingencies arrangements within Northern Ireland public sector to ensure an effective response can be made to assist the public during and in the aftermath of a civil emergency,,Northern Ireland
Civil contingency planning,,1.0,CCS,Civil protection provisions made for the preparation and planning of a response to and recovery from emergencies as defined in the Civil Contingencies Act 2004 and Contingency Planning Regulations (2005).,,
Civil Nuclear Constabulary,CNC,2.0,NEPLG,National specialised armed police service whose role is the protection of civil nuclear sites and nuclear materials.,,
Civil Nuclear Police Authority,CNPA,2.0,NEPLG,The Authority which oversees but is independent of the Civil Nuclear Constabulary. All members are appointed by the Secretary of State for Energy and Climate Change. ,,
Civil protection,,1.0,CCS,"Organisation and measures, under governmental or other authority, aimed at preventing, abating or otherwise countering the effects of emergencies for the protection of the civilian population and property",,
Civil Protection Self Assessment Toolkit,CPSAT,2.1,CCS,"A toolkit that allows responders to measure their compliance against the duties of the Civil Contingencies Act, its Regulations and associated Guidance.",The CPSAT can be accessed at  http://www.cpsat.info/,
Clinical Decontamination,,2.0,DH,Medical procedure to treat a CONTAMINATED CASUALTY,,
Coastguard,HMCG,1.0,MCA,See Her Majesty’s (HM) Coastguard,,
Coastguard rescue service,,1.0,MCA,Part-time HM Coastguard service volunteers trained and supervised by regular Coastguard officers,,
Coastguard rescue teams,,1.0,MCA,COASTGUARD RESCUE SERVICE teams stationed at certain locations around the UK,,
Chief Fire and Rescue Advisor,CFRA,2.1,DCLG,"The CFRA and his/her team provide strategic advice and guidance to ministers, civil servants, fire and rescue services in England and other stakeholders on the structure, organisation and performance of the Fire and Rescue Services.",,
Chief Fire Officers Association,CFOA,2.1,CFOA,"A professional membership association that  provides independant advice to government on fire prevention, protection and intervention issues as well as on a wide rnge of community safety and rescue matters.",,
Cold Zone,,1.0,CCS,This is the area beyond the inner cordon. ,,
Combustible ,,2.0,CCS,Able to burn. ,,
Command,,1.0,CCS,"The exercise of vested authority that is associated with a role or rank within an organisation, to give direction in order to achieve defined objectives",,
Command and Control,C2,2.0,CCS,"The exercise of vested authority through means of communications and the management of available assets and capabilities, in order to achieve defined objectives. ",Note: Command and Control are not synonymous terms – see the separate glossary entries.,
Command protocol(s) ,,1.0,CCS,Established procedure(s) delineating lines of command and responsibility in the response to an incident or emergency,,
Command Post Exercise,CPX,2.1,CCS,,Note: included for Acronym,
Common Operating Picture,COP,1.0,CCS,Single display of information collected from and shared by more than one agency or organisation that contributes to a common understanding of a situation and its associated hazards and risks along with the position of resources and other overlays of information that support individual and collective decision making,,
Common Recognised Information Picture ,CRIP,1.0,CCS,"A single, authoritative strategic overview of an emergency or crisis that is developed according to a standard template and is intended for briefing and decision-support purposes. ",Note: within COBR the CRIP is typically collated and maintained by the Central Situation Cell and circulated where relevant to responders,
Communicating with the Public,,1.0,CCS,"Requirement under the Civil Contingencies Act that Local Resilience Forums identify Category 1 responders who will take the lead in warning, informing and educating the public about civil protection, for each risk identified in the Community Risk Register",,
Communities and Local Government,DCLG,1.0,DCLG,See Department of Communities and Local Government,,
Community care services,,1.0,CCS,See Primary and Community Care Services,,
Community Impact Assessment,CIA,2.0,NPIA,"Procedure to identify the impact a police operation or response may have on communities, including actions necessary to overcome potential negative effects either before or after the deployment of resources, and to specify primacy for community engagement with respect to each element of the operation or response  ",,
Community resilience,,2.0,CCS,"Communities and individuals harnessing local resources and expertise to help themselves in an emergency, in a way that complements the response of the emergency services",,
Community Risk Register,CRR,1.0,CCS,A register communicating the assessment of risks within a Local Resilience Area which is developed and published as a basis for informing local communities and directing civil protection workstreams.,,
Competences,,2.0,CCNOS,"Competences include the knowledge, judgement, skills, energy, experience and motivation required to respond adequately to the demands of one’s professional responsibilities. ",,
,,,,,,
Computer Aided Despatch  ,CAD,2.1,MPS,,Note: included for Acronym,
Concept of Operations,CONOPS,2.1,CCS,1. The statement of UK Central Government arrangements for responding to an Emergency.,"Note: a CONOPS document should be clear and concise and should not involve unnecessary levels of detail, emphasising instead the agreed principles which give coherence to all other arrangements.",
,,,,"2.  A high level description of how a defined system will operate to achieve defined strategic objectives. CONOPS will establish the higher-level framework within which more specific, operational-level plans, protocols and procedures will be developed and implemented. ",,
CONOPS,,2.0,CCS,See Concept of Operations,,
Consequences,,2.0,CCS,"Impact resulting from the occurrence of a particular hazard or threat, measured in terms of the numbers of lives lost, people injured, the scale of damage to property and the disruption to essential services and commodities ",,
Consequence management,,1.0,CCS,"Measures taken to protect public health and safety, restore essential services, and provide emergency relief to governments, businesses, and individuals affected by the impacts of an emergency ",,
Consequence Management Liaison Officer,CMLO,1.0,CCS,"Member of a Government Liaison Team who advises the Government Liaison Officer on the potential impact of a terrorist incident on the affected population, businesses and the wider community; options for mitigating this impact; and longer-term recovery ",,
Contingency,,1.0,CCS,Possible future emergency or risk which must be prepared for. See also civil contingencies,,
Contingency Plan,,1.0,CCS,Plan prepared by a particular authority specifying the response to a potential INCIDENT within its area of jurisdiction  ,,
Contingency planning,,2.0,CCS,See civil contingency planning ,,
Continuity,,1.0,CCS,One of the eight principles outlined in Emergency Response and Recovery. The grounding of emergency response and recovery in the existing functions of organisations and familiar ways of working. ,,
Control  ,,1.0,CCS,"The application of authority, combined with the capability to manage resources, in order to achieve defined objectives.",,
Control centre,,1.0,CCS,Operations centre from which the management and co-ordination of the response by each emergency service to an emergency are carried out. ,,
"Control of major accident hazards regulations 1999, Northern Ireland 2000 ",COMAH,2.0,HSE,"Regulations applying to the chemical industry and to some storage sites where threshold quantities of dangerous substances, as identified in the Regulations, are kept or used. ",,
,,,,,,
,,,,,,
Control of Substances Hazardous to Health ,COSHH,2.0,HSE,"Regulations applying to the control by employers of hazardous substances, including chemicals, products containing chemicals, fumes, dusts, vapours, mists and gases, and biological agents. ","The regulations also cover the need to plan and practice to cope with foreseeable accidents, incidents or emergencies.",
Control room,,1.0,CCS,See control centre,,
Controlled Area,,2.0,CCS,Area contained by an outer cordon,,
Co-ordinating Group,,2.0,CCS,Generic term for the body that oversees the single- or multi-agency RESPONSE and RECOVERY to an EMERGENCY,,
Convention of Scottish Local Authorities,COSLA,2.0,CCS,Body representing Scottish local government and acting as the employers’ association on behalf of all Scottish councils,,Scotland
Co-ordination,,1.0,CCS,"The integration of multi-agency efforts and available capabilities, which may be interdependent, in order to achieve defined objectives.",,
Core Competences,,2.0,CCNOS,Core competences form that part of a set of competences which is common to all members of an organisation or group; as distinct from specific competences which relate to more specialist activities undertaken by some members of the same organisation or group.,,
,,,,,,
Coroner,,1.0,CCS,"Independent judicial officer responsible for investigating the cause and circumstances of violent or unnatural deaths, and sudden deaths of unknown cause",,
Coroner's Office,,1.0,CCS,"Representative of the CORONER, whose duties include supervision of procedures relating to bodies and keeping the CORONER informed on all related matters",,
,,,,,,
Cost Benefit Analysis,CBA,2.0,CCS,Financial technique that measures the cost of implementing a particular solution and compares it with the benefit delivered by that solution ,,
Cost-recovery basis,,2.0,CCS,"A formally agreed situation under which an organisation can charge another organisation for providing a service, to ensure that the providing organisation does not make a financial loss in providing the service. It is usually agreed that no surplus or profit can be made by the organisation providing the service. ",,
Council Food Intervention Levels,CFILs,1.0,NEPLG,Criteria laid down by the European Union for intervention in food safety.,,
Countermeasures,CT,2.0,NEPLG,Precautionary actions to protect the public. ,,
Counter Pollution and Response Branch,CPRB,2.0,MCA,"Body within the Maritime and Coastguard Agency responsible for dealing with pollution at sea, and assisting local authorities with the shoreline clean-up",,
Counter Terrorism,CT,2.0,MOD,All measures taken to neutralise terrorism before and after hostile acts are carried out.  ,,
Counter Terrorism Security Adviser,CTSA,2.1,OSCT,Police officer who provides advice on preventing and mitigating the effects of acts of terrorism,,
Coxswain,,2.0.2,MCA,Person in charge of a small craft,"Note: usually an official craft e.g. RNLI lifeboat, police launch, pilot boat, etc",
Crisis,,2.0,BSI PAS200,"1. General definition: an inherently abnormal, unstable and complex situation that represents a threat to the strategic objectives, reputation or existence of an organisation.",,
,,,CCS,2. Specific definition - emergency of magnitude and/or severity requiring the activation of central government response,,
,,,BRC,3. Personal - acute emotional reaction to a powerful stimulus or demand,,
Crisis intervention ,,1.0,BRC,"Temporary support for individuals or groups who are experiencing an acute state of emotional distress, intended to limit the exacerbation of post trauma symptoms, facilitate recovery and identify those who need more assistance  ",,
Crisis management,,2.0,BSI PAS200,"1. General definition - strategically-directed activities to prevent, respond to, mitigate the effects of and recover from a crisis.",,
,,,CCS,"2. In Central Government Arrangements for Responding to Emergencies: Concept of Operations crisis management is the implementation of measures that attempt to prevent or avert an imminent emergency, along with work that puts in place protective or other measures to mitigate the effects of an emergency, prevent further damage or disruption and secure the scene ",,
Crisis Management Group,CMG,1.0,OFMDFM,In Northern Ireland - Minister led strategic co-ordination group responsible for setting the overarching strategy for the administration’s response to an emergency ,,Northern Ireland
Critical Business Activities,,2.0,CCS,Services or operations which a Local Authority must continue to provide in the event of major disruption,,
Critical Function,,2.0,CCS,"A service or operation the continuity of which a Category 1 responder needs to ensure, in order to meet its business objectives and/or deliver essential services. ",,
Critical Incident ,,2.0,HO,"Incident in which the police response is likely to have a significant impact on the confidence of the victim, his/her family and/or the community  ",,
Critical Infrastructure,CI,2.1,CCS,"Critical infrastructure is therefore a broad term used to describe Critical National Infrastructure (CNI) and other infrastructure of national significance, as well as infrastructure and assets of local significance.","Note: also see Critical National Infrastructure, National Infrastructure",
Critical National Infrastructure,CNI,2.1,CCS,"Critical National Infrastructure is a sub-set of critical infrastructure, and describes those elements of critical infrastructure which have been identified by Government as being of strategic national importance to essential service delivery. The loss or compromise of these assets would have a severe, widespread effect, impacting on a national scale.","Note: also see Critical Infrastructure, National Infrastructure",
Cross(-) agency,,2.0,CCS,See joint agency,,
Cross-Border Co-operation,,2.0,CCS,Co-operation between Category 1 and 2 responders across boundaries of Devolved Administrations,,
Cross-Boundary Co-operation,,2.0,CCS,Co-operation between Category 1 and 2 responders across the boundaries between LOCAL RESILIENCE AREAS,,
Cross-contamination,,2.0,DH,See Secondary contamination,,
Crowd Doctor,,2.0,DH,"Medical practitioner, registered with the General Medical Council, who has received training in pre-hospital care and management in relation to an EMERGENCY",,
Crown Office and Procurator Fiscal Service (Scotland),COPFS,2.0,CCS,"Body responsible for the prosecution of crime in Scotland, the investigation of sudden or suspicious deaths, and the investigation of complaints against the police",,Scotland
Community Risk Register,CRR,2.1,CCS,An assessment of the risks within a local resilience area agreed by the Local Reilience Forum as a basis for supporting the preparation of emergency plans.,,
Cruse,,2.0,BRC,"Charitable organisation offering bereavement counselling, advice and support throughout the UK",,
CT,,2.0,MOD,See Counter Terrorism,,
Cumulative stress  ,,2.0,BRC,"Excessive accumulation of unresolved general stress, which if unresolved may result in persistent physical illness and emotional distress",,
Dam Inundation,,2.0,CCS,See Reservoir Inundation,,
Data Protection Act,,2.0,CCS,"An Act that requires organisations which hold data about individuals to do so securely and  only for specific purposes. The Act also gives individuals the right, with certain exemptions, to see personal data that relates to them. ",,
Deputy Chief Constable,DCC,2.1,CCS,,Note: included for Acronym.,
Decontamination,,2.0,DCLG,Removal or reduction of hazardous materials to lower the risk of further harm to victims and/or cross contamination,,
Decontamination Point,,2.0,DCLG,The position on the inner cordon at which decontamination is carried out,,
Defence Nuclear Emergency Organisation,DNEO (formerly NARO),2.0,NEPLG,"Provides the Ministry of Defence response to an emergency, including one arising through terrorist acts, involving defence nuclear assets.",Note: formerly Nuclear Accident Response Organisation,
Defence Nuclear Safety Regulator,DNSR,2.0,NEPLG,The MOD independent regulator for nuclear and radiological safety and environmental protection in the defence nuclear programme.,,
Defence Science and Technology Laboratory,DSTL,2.0,NEPLG,An Agency of the Ministry of Defence (MOD) that exists to supply impartial Scientific and technical research and advice to the MOD and other government departments.,,
"Department for Communities and Local Government, Resilience and Emergencies Division",DCLG-RED,2.1,CCS,"DCLG-RED act as a conduit for communications between central government and the local level. They are responsible for supporting local response and recovery efforts, and ensuring that there is an accurate picture of the situation in their area.",,
Department for Culture Media and Sport,DCMS,2.0,CCS,,Note: included for Acronym,
Department for Energy and Climate Change,DECC,2.0,NEPLG,The Lead Government Department in the event of an emergency at a civil nuclear site in England or Wales. It is also the Lead Government Department for co-ordinating the response to an overseas nuclear emergency.,Note: DECC chairs the Nuclear Emergency Planning Liaison Group (NEPLG) and takes the lead in the preparation of NEPLG Consolidated Guidance.,
"Department for Environment, Food and Rural Affairs",DEFRA,2.0,CCS,"The Lead Government Department responsible for policy and regulations on the environment, food and rural affairs. Is also responsible for minimising the impact of emergencies on food production, fishing and farming.",Note: DEFRA is the Lead Government Department in the recovery phase following an Off Site Nuclear Emergency.,
Department for Transport,DfT,2.0,DfT,"UK Government Department responsible for transport issues (except where devolved), in particular railway franchising and a range of executive agencies.",,
Department for Transport Inspectors of Radioactive Materials Transport,DfT IRMT,2.0,DfT,"On behalf of the Secretary of State, executes the role of competent authority for the transport of radioactive materials by all modes of transport. ",,
Department of Health,DH       ,2.1,DCLG,,Note: included for Acronym,
(Designated) Receiving Hospital ,DRH,1.0,CCS,Hospital designated by a Strategic Health Authority as suitable for receiving injured persons from an emergency ,,
Detailed Emergency Planning Zone,DEPZ,1.0,NEPLG,Area surrounding a nuclear licensed site for which detailed plans for emergencies have been prepared.  The area covered by the DEPZ is agreed with the nuclear regulator and is based on the reference accident for that site.,,
"Detection, Information and Monitoring (equipment)",DIM,2.1,NEPLG,Hazardous materials / substances equipment operated by the fire and rescue service. Supplied by the Government as part of the New Dimensions programme.,,
Developed Vetting,DV,2.1,CCS,,Note: included for Acronym,
Devolved Administrations,DA,1.0,CCS,"Governments of Wales, Scotland and Northern Ireland",,
Direction,,1.0,CCS,One of the eight principles outlined in Emergency Response and Recovery. Collectively agreeing clear strategic aims and supporting objectives to enable prioritisation and focus of the response and recovery effort. ,,
Director of Public Health,DPH,1.0,DH,"A senior Public Health official who provides strategic leadership for health protection, improvement and joint working with social services",,
Disaster,,1.0,CCS,"Emergency (usually but not exclusively of natural causes) causing, or threatening to cause, widespread and serious disruption to community life through death, injury, and/or damage to property and/or the environment",,
Disaster appeal fund,,2.0,BRC,"Facility for members of the public to donate money to assist with the response to, or those affected by, an emergency ",,
